"run_id","code","health_systems_costs","monetized_dalys_averted","dalys_averted"
8,"MLI",706079269.46173,13851314286.9697,3438019.39978853
8,"MMR",1662312.58364786,2376622.31666862,589.898796705784
8,"MOZ",586011388.634606,16934526024.0629,4203299.97505885
8,"MWI",144280333.220824,2369434834.06672,588114.799598433
8,"NER",433470334.495752,14110557910.7145,3502365.97291803
8,"NGA",7569249872.06423,113135623953.678,28081268.0949586
8,"NIC",122321.418137249,111059.882088738,27.5660505024062
8,"PAK",10782572.4145027,11880621.009992,2948.875801072
8,"PER",726334.487247374,357535.933535208,88.7435986325069
8,"PNG",10421187.5726316,11814649.7074444,2932.50113703009
8,"RWA",142650512.99324,3227650552.37237,801131.573863238
8,"SLB",1190650.80922155,1120108.73956263,278.020951420595
8,"TZA",673692586.18865,13761740308.3285,3415786.34161771
8,"UGA",981698648.623364,21450438588.6285,5324189.63816689
8,"VEN",7108876.44842107,2501365.17907772,620.861084620305
8,"YEM",8167453.92228253,7610142.9128678,1888.90515568012
9,"AFG",1041594.93676622,3615718.8059306,897.453565880295
9,"AGO",1760466201.73778,13343686299.5804,3312021.61846884
9,"BEN",354224817.203964,7926255464.38368,1967367.10247535
9,"BFA",659322610.633244,14262008046.4322,3539957.24360257
9,"BGD",66505.929039143,111639.123792078,27.7098234449582
9,"BRA",690315.113914378,1468197.95306894,364.419790122685
9,"CIV",750086279.917293,13716705998.6561,3404608.42542131
9,"CMR",918472972.86733,12111557584.8726,3006196.31291015
9,"COD",1140365032.98431,55192606044.589,13699295.703996
9,"COL",6033060.02657601,920394.953334239,228.450213421794
9,"ETH",462566442.655305,7289158339.63901,1809233.92976392
9,"GHA",887311404.531116,12895020162.1306,3200658.69271156
9,"GIN",185785712.899926,3870005539.12022,960569.794687347
9,"GUY",175118.115923247,154011.8278924,38.2271054660188
9,"HTI",92814.4116705351,196334.5394715,48.7319788986779
9,"IDN",13020560.6280882,7347957.62044583,1823.82843422171
9,"IND",445767093.131714,4166695279.94088,1034210.82712131
9,"KHM",380273.930815434,771789.788195138,191.56508973807
9,"MDG",68938745.5239374,2827178903.28353,701730.948759527
9,"MLI",708375637.267146,13851314286.9697,3438019.39978853
9,"MMR",2098669.80027728,2376622.31666862,589.898796705784
9,"MOZ",567467531.056579,16934526024.0629,4203299.97505885
9,"MWI",134457169.700284,2369434834.06672,588114.799598433
9,"NER",435700414.321226,14110557910.7145,3502365.97291803
9,"NGA",8218923137.90952,113135623953.678,28081268.0949586
9,"NIC",140781.976017272,111059.882088738,27.5660505024062
9,"PAK",13571300.7676035,11880621.009992,2948.875801072
9,"PER",876108.204162237,357535.933535208,88.7435986325069
9,"PNG",7843642.217308,11814649.7074444,2932.50113703009
9,"RWA",142224919.113694,3227650552.37237,801131.573863238
9,"SLB",887459.785295048,1120108.73956263,278.020951420595
9,"TZA",742320447.286268,13761740308.3285,3415786.34161771
9,"UGA",1126646755.79089,21450438588.6285,5324189.63816689
9,"VEN",6534743.65587502,2501365.17907772,620.861084620305
9,"YEM",6921009.52880927,7610142.9128678,1888.90515568012
10,"AFG",966822.716261312,3615718.8059306,897.453565880295
10,"AGO",1752759820.50616,13343686299.5804,3312021.61846884
10,"BEN",308468553.304184,7926255464.38368,1967367.10247535
10,"BFA",631538757.406474,14262008046.4322,3539957.24360257
10,"BGD",58435.2260458959,111639.123792078,27.7098234449582
10,"BRA",816717.818272477,1468197.95306894,364.419790122685
10,"CIV",844013551.251937,13716705998.6561,3404608.42542131
10,"CMR",818148078.945976,12111557584.8726,3006196.31291015
10,"COD",1205695771.56334,55192606044.589,13699295.703996
10,"COL",3379782.76175672,920394.953334239,228.450213421794
10,"ETH",454700270.651836,7289158339.63901,1809233.92976392
10,"GHA",681378879.476386,12895020162.1306,3200658.69271156
10,"GIN",201319996.842278,3870005539.12022,960569.794687347
10,"GUY",220048.792553603,154011.8278924,38.2271054660188
10,"HTI",86402.8679292905,196334.5394715,48.7319788986779
10,"IDN",10280304.2410476,7347957.62044583,1823.82843422171
